document_id,parser,chunker,mean_coverage,pct_full,n_chunks
D1,context_aware,advanced,0.9825,0.975,621
D1,context_aware,basic,0.9675,0.96,157
D1,context_aware,medium,0.9825,0.975,638
D1,docling,advanced,0.9925,0.985,196
D1,docling,basic,0.9808,0.97,135
D1,docling,medium,0.9858,0.975,548
D1,normal,advanced,0.9925,0.985,175
D1,normal,basic,0.9825,0.975,126
D1,normal,medium,0.9725,0.965,619
D2,context_aware,advanced,0.975,0.975,259
D2,context_aware,basic,0.99,0.99,60
D2,context_aware,medium,0.975,0.975,263
D2,docling,advanced,0.995,0.995,77
D2,docling,basic,0.985,0.985,56
D2,docling,medium,0.985,0.985,158
D2,normal,advanced,1.0,1.0,63
D2,normal,basic,0.995,0.995,49
D2,normal,medium,0.975,0.975,257
D3,context_aware,advanced,0.98,0.98,299
D3,context_aware,basic,0.9943,0.99,113
D3,context_aware,medium,0.9925,0.99,362
D3,docling,advanced,0.9943,0.985,113
D3,docling,basic,0.9843,0.975,94
D3,docling,medium,0.9818,0.975,327
D3,normal,advanced,1.0,1.0,112
D3,normal,basic,0.9925,0.99,93
D3,normal,medium,0.9825,0.98,340
D4,context_aware,advanced,1.0,1.0,274
D4,context_aware,basic,1.0,1.0,161
D4,context_aware,medium,1.0,1.0,344
D4,docling,advanced,1.0,1.0,225
D4,docling,basic,0.99,0.99,149
D4,docling,medium,0.995,0.995,635
D4,normal,advanced,1.0,1.0,175
D4,normal,basic,0.995,0.995,151
D4,normal,medium,1.0,1.0,336
