parser,chunker,retriever_label,label,mean,ci_lo,ci_hi,n_queries
normal,advanced,BGE-small,normal | advanced | BGE-small,0.9576,0.9428,0.9709,800
normal,advanced,E5-base,normal | advanced | E5-base,0.949,0.9338,0.9635,800
docling,advanced,E5-base,docling | advanced | E5-base,0.9466,0.9311,0.9615,800
normal,advanced,BGE-base,normal | advanced | BGE-base,0.9449,0.9292,0.9607,800
normal,basic,E5-base,normal | basic | E5-base,0.9367,0.9193,0.9532,800
docling,basic,E5-base,docling | basic | E5-base,0.9363,0.9193,0.9521,800
normal,basic,BGE-small,normal | basic | BGE-small,0.9362,0.9186,0.9524,800
normal,advanced,MiniLM-L6,normal | advanced | MiniLM-L6,0.934,0.9166,0.9517,800
context_aware,medium,BGE-base,context_aware | medium | BGE-base,0.9333,0.9158,0.9496,800
normal,basic,BGE-base,normal | basic | BGE-base,0.9311,0.9137,0.9478,800
context_aware,basic,E5-base,context_aware | basic | E5-base,0.9279,0.9097,0.9442,800
docling,advanced,BGE-small,docling | advanced | BGE-small,0.9277,0.9101,0.9455,800
context_aware,medium,E5-base,context_aware | medium | E5-base,0.9258,0.9088,0.9421,800
docling,basic,BGE-base,docling | basic | BGE-base,0.9253,0.9072,0.9426,800
context_aware,basic,BGE-base,context_aware | basic | BGE-base,0.925,0.9071,0.9417,800
docling,advanced,MiniLM-L6,docling | advanced | MiniLM-L6,0.9244,0.9064,0.9426,800
docling,advanced,BGE-base,docling | advanced | BGE-base,0.9226,0.904,0.9405,800
context_aware,basic,BGE-small,context_aware | basic | BGE-small,0.9212,0.9026,0.9388,800
context_aware,advanced,E5-base,context_aware | advanced | E5-base,0.9191,0.9006,0.9363,800
docling,basic,BGE-small,docling | basic | BGE-small,0.919,0.8996,0.938,800
docling,advanced,BM25-Naive,docling | advanced | BM25-Naive,0.9182,0.8994,0.9362,800
context_aware,medium,BGE-small,context_aware | medium | BGE-small,0.9179,0.8989,0.9358,800
normal,basic,BM25-Naive,normal | basic | BM25-Naive,0.9115,0.8918,0.9305,800
docling,medium,E5-base,docling | medium | E5-base,0.911,0.8926,0.9302,800
normal,advanced,BM25-Naive,normal | advanced | BM25-Naive,0.9103,0.8904,0.929,800
normal,basic,MiniLM-L6,normal | basic | MiniLM-L6,0.9084,0.8885,0.9273,800
context_aware,advanced,BGE-small,context_aware | advanced | BGE-small,0.9082,0.8896,0.9281,800
docling,basic,MiniLM-L6,docling | basic | MiniLM-L6,0.9072,0.8872,0.9264,800
docling,basic,BM25-Naive,docling | basic | BM25-Naive,0.9056,0.8855,0.9261,800
context_aware,advanced,BGE-base,context_aware | advanced | BGE-base,0.9054,0.8854,0.9254,800
docling,medium,BGE-base,docling | medium | BGE-base,0.9033,0.8835,0.923,800
context_aware,basic,MiniLM-L6,context_aware | basic | MiniLM-L6,0.9022,0.881,0.9226,800
context_aware,basic,BM25-Naive,context_aware | basic | BM25-Naive,0.8969,0.875,0.9159,800
normal,medium,E5-base,normal | medium | E5-base,0.8963,0.8759,0.9161,800
normal,medium,BGE-base,normal | medium | BGE-base,0.8957,0.8758,0.9165,800
normal,advanced,MPNet-base,normal | advanced | MPNet-base,0.8909,0.8679,0.9121,800
normal,medium,BGE-small,normal | medium | BGE-small,0.8832,0.8621,0.9056,800
context_aware,advanced,MiniLM-L6,context_aware | advanced | MiniLM-L6,0.8816,0.8591,0.903,800
docling,medium,BM25-Naive,docling | medium | BM25-Naive,0.8788,0.8566,0.8998,800
docling,medium,MiniLM-L6,docling | medium | MiniLM-L6,0.8766,0.8545,0.8987,800
docling,medium,BGE-small,docling | medium | BGE-small,0.8756,0.8532,0.898,800
context_aware,medium,MiniLM-L6,context_aware | medium | MiniLM-L6,0.8749,0.8527,0.8983,800
context_aware,medium,BM25-Naive,context_aware | medium | BM25-Naive,0.8748,0.8514,0.897,800
docling,advanced,MPNet-base,docling | advanced | MPNet-base,0.874,0.8511,0.8963,800
context_aware,basic,MPNet-base,context_aware | basic | MPNet-base,0.8718,0.8477,0.8944,800
normal,medium,BM25-Naive,normal | medium | BM25-Naive,0.867,0.8438,0.8895,800
context_aware,medium,MPNet-base,context_aware | medium | MPNet-base,0.8664,0.8425,0.8884,800
context_aware,advanced,BM25-Naive,context_aware | advanced | BM25-Naive,0.8654,0.8423,0.8886,800
normal,basic,MPNet-base,normal | basic | MPNet-base,0.8603,0.8352,0.8829,800
context_aware,advanced,MPNet-base,context_aware | advanced | MPNet-base,0.8566,0.8321,0.8797,800
docling,basic,MPNet-base,docling | basic | MPNet-base,0.8463,0.8198,0.8717,800
normal,medium,MiniLM-L6,normal | medium | MiniLM-L6,0.8461,0.8227,0.8711,800
docling,medium,MPNet-base,docling | medium | MPNet-base,0.8265,0.8002,0.8524,800
normal,medium,MPNet-base,normal | medium | MPNet-base,0.8263,0.8006,0.8532,800
