parser,chunker,retriever_label,evidence_recall_5,evidence_recall_10,mrr,p50_latency_ms,p95_latency_ms,index_build_s,n_chunks,dense_dim,vector_bytes,index_cost_per_query_proxy_ms,total_proxy_cost_ms,pareto_latency,pareto_total_cost
docling,basic,BM25-Naive,0.8702791305916305,0.9055916305916305,0.7730505952380952,0.45752525329589844,0.9252667427062986,0.009141206741333008,135,0,0,0.06771264252839265,0.5252378958242911,True,True
normal,basic,BM25-Naive,0.8715277777777777,0.9115277777777777,0.7793938492063492,0.4628896713256836,1.3251781463623047,0.010165691375732422,126,0,0,0.08068009028359065,0.5435697616092743,True,True
context_aware,basic,BM25-Naive,0.8612414321789322,0.8969110750360749,0.7634707341269841,0.5319118499755859,1.7199993133544915,0.01941847801208496,157,0,0,0.12368457332538192,0.6555964233009679,False,False
docling,advanced,BM25-Naive,0.873358134920635,0.9182242063492063,0.7781418650793651,0.6327629089355469,1.2763619422912598,0.011030435562133789,196,0,0,0.056277732459866274,0.6890406413954131,False,True
context_aware,advanced,BM25-Naive,0.8300515873015872,0.8653849206349206,0.7417539682539683,0.9442567825317383,2.815067768096924,0.011980295181274414,621,0,0,0.01929194071058682,0.9635487232423251,False,False
normal,advanced,BM25-Naive,0.8777876984126983,0.9102777777777777,0.7856011904761906,0.561833381652832,5.3322076797485325,0.07875490188598633,175,0,0,0.4500280107770647,1.0118613924298967,True,True
normal,medium,BM25-Naive,0.829719246031746,0.8670109126984127,0.732938988095238,1.1767148971557617,15.37026166915892,0.0802001953125,619,0,0,0.12956412813004847,1.3062790252858103,False,False
docling,medium,BM25-Naive,0.8359990079365079,0.8788115079365079,0.7414985119047618,1.3164281845092773,2.789282798767089,0.012481451034545898,548,0,0,0.022776370500996165,1.3392045550102736,False,False
context_aware,medium,BM25-Naive,0.8444156746031746,0.8747777777777778,0.7428239087301587,1.4355182647705078,4.3397426605224565,0.016567468643188477,638,0,0,0.02596781918995059,1.4614860839604584,False,False
docling,medium,MiniLM-L6,0.8087073412698413,0.8766240079365079,0.6542242063492064,6.571769714355469,10.988461971282955,0.8315019607543945,548,384,841728,1.5173393444423258,8.089109058797794,False,False
context_aware,advanced,MiniLM-L6,0.8284503968253968,0.8815575396825396,0.6875451388888889,7.08770751953125,11.406242847442627,0.7096531391143799,621,384,953856,1.142758678122995,8.230466197654245,False,False
normal,medium,MiniLM-L6,0.7701201298701298,0.8460734126984127,0.6363814484126984,6.5288543701171875,23.211646080017086,1.3128058910369873,619,384,950784,2.1208495816429522,8.64970395176014,False,False
docling,advanced,MiniLM-L6,0.859454365079365,0.9243849206349206,0.7147609126984126,6.403326988220215,10.933315753936766,0.5651874542236328,196,384,301056,2.8836094603246574,9.286936448544871,False,False
context_aware,medium,MiniLM-L6,0.8107400793650794,0.874920634920635,0.6693348214285715,6.334185600280762,10.400354862213135,1.9950177669525146,638,384,979968,3.126987095536857,9.461172695817618,False,False
docling,basic,MiniLM-L6,0.8327317821067821,0.9072109487734488,0.6598938492063492,6.262063980102539,7.543778419494627,0.45767688751220703,135,384,207360,3.390199166757089,9.652263146859628,False,False
context_aware,basic,MiniLM-L6,0.8415277777777778,0.9021825396825396,0.6699290674603176,6.500482559204102,11.89230680465698,0.6223230361938477,157,384,241152,3.9638409948652717,10.464323554069374,False,False
normal,advanced,MiniLM-L6,0.8777182539682539,0.9339682539682539,0.7222113095238094,6.355166435241699,21.19870185852049,0.7206740379333496,175,384,268800,4.118137359619141,10.47330379486084,False,False
context_aware,advanced,BGE-small,0.8745019841269841,0.9082242063492063,0.7598913690476191,10.556578636169434,16.94413423538208,1.3814935684204102,621,384,953856,2.2246273243484866,12.78120596051792,False,False
context_aware,medium,BGE-small,0.871781746031746,0.917906746031746,0.7446339285714285,10.548830032348633,18.662905693054192,1.6385891437530518,638,384,979968,2.568321541932683,13.117151574281316,False,False
normal,medium,BGE-small,0.8396150793650794,0.883156746031746,0.7136011904761905,10.739803314208984,48.96680116653442,1.6719067096710205,619,384,950784,2.7009801448643302,13.440783459073314,False,False
docling,medium,BGE-small,0.8380823412698413,0.8755823412698414,0.70646875,10.57732105255127,18.403935432434082,1.9134650230407715,548,384,841728,3.491724494599948,14.069045547151218,False,False
context_aware,advanced,E5-base,0.8736686507936509,0.9190575396825396,0.7647832341269841,10.940790176391602,19.598889350891113,4.271122932434082,621,768,1907712,6.877814706013014,17.818604882404614,False,False
context_aware,advanced,BGE-base,0.8622182539682539,0.9054265873015873,0.7459007936507936,11.081814765930176,19.668960571289062,4.318270683288574,621,768,1907712,6.953737010126528,18.035551776056703,False,False
context_aware,medium,BGE-base,0.89425,0.9333333333333332,0.7604861111111112,10.868072509765625,18.14903020858764,4.962968826293945,638,768,1959936,7.778948003595525,18.64702051336115,False,True
normal,medium,BGE-base,0.847531746031746,0.8956567460317459,0.7346661706349207,10.774374008178711,50.428605079650865,4.874910116195679,619,768,1901568,7.875460607747462,18.649834615926174,False,False
context_aware,medium,E5-base,0.8707400793650794,0.9258234126984126,0.764922123015873,10.846734046936035,18.89505386352539,5.132603406906128,638,768,1959936,8.044832926185153,18.891566973121186,False,False
docling,advanced,BGE-small,0.8879265873015874,0.9277182539682539,0.7567847222222223,10.408759117126465,16.860806941986084,1.7181177139282227,196,384,301056,8.765906703715421,19.174665820841888,True,False
normal,medium,E5-base,0.8583650793650794,0.896281746031746,0.7405034722222222,11.007070541381836,55.625367164611795,5.205901145935059,619,768,1901568,8.410179557245652,19.417250098627488,False,False
context_aware,advanced,MPNet-base,0.789063492063492,0.8566468253968255,0.6508754960317461,11.829614639282227,19.59085464477539,4.845260143280029,621,768,1907712,7.802351277423558,19.631965916705784,False,False
docling,basic,BGE-small,0.8682178932178932,0.918981782106782,0.7133030753968254,10.741353034973145,18.977880477905273,1.2453553676605225,135,384,207360,9.22485457526313,19.966207610236275,False,False
context_aware,basic,BGE-small,0.8696626984126984,0.9212103174603175,0.720827876984127,10.771036148071289,19.503581523895264,1.455613613128662,157,384,241152,9.271424287443708,20.042460435514997,False,False
normal,advanced,BGE-small,0.9088293650793651,0.957579365079365,0.766454365079365,11.060357093811035,46.589910984039285,1.5859882831573486,175,384,268800,9.062790189470563,20.123147283281597,False,True
normal,medium,MPNet-base,0.7673234126984128,0.826281746031746,0.6357321428571429,12.083292007446289,33.44618082046508,5.016537189483643,619,768,1901568,8.10426040304304,20.18755241048933,False,False
context_aware,medium,MPNet-base,0.7915456349206349,0.8663789682539682,0.6515739087301587,11.892199516296387,18.653368949890133,5.549437761306763,638,768,1959936,8.698178309258248,20.590377825554633,False,False
docling,medium,E5-base,0.8556517857142858,0.9109990079365079,0.7448283730158729,10.708451271057129,18.36928129196167,5.612701416015625,548,768,1683456,10.242155868641651,20.950607139698782,False,False
docling,medium,BGE-base,0.8597490079365079,0.9032906746031746,0.7350659722222223,10.593414306640625,50.114917755126946,6.010667324066162,548,768,1683456,10.968371029317813,21.56178533595844,False,False
docling,medium,MPNet-base,0.7689573412698413,0.8264990079365079,0.6421760912698413,11.796236038208008,19.131648540496826,5.530552387237549,548,768,1683456,10.092248881820344,21.888484920028354,False,False
context_aware,basic,BGE-base,0.8706448412698413,0.9250198412698413,0.7186612103174603,10.776877403259277,18.063724040985097,3.1503047943115234,157,768,482304,20.065635632557473,30.84251303581675,False,False
context_aware,basic,E5-base,0.8704960317460317,0.9278769841269842,0.714359623015873,11.347413063049316,19.32199001312256,3.1507503986358643,157,768,482304,20.068473876661557,31.415886939710873,False,False
docling,advanced,BGE-base,0.8650694444444444,0.9225694444444444,0.7326959325396826,10.671019554138184,18.066322803497314,4.33837103843689,196,768,602112,22.134546114473928,32.80556566861211,False,False
docling,advanced,E5-base,0.909593253968254,0.9465575396825396,0.7873184523809523,10.602951049804688,17.841053009033203,4.440776109695435,196,768,602112,22.65702096783385,33.25997201763854,True,True
docling,advanced,MPNet-base,0.7767063492063493,0.873968253968254,0.6289593253968254,11.52336597442627,16.41815900802612,4.309988021850586,196,768,602112,21.989734805360133,33.5131007797864,False,False
normal,advanced,E5-base,0.9039682539682539,0.9489682539682539,0.7710411706349207,11.268258094787598,26.707363128662106,3.9000720977783203,175,768,537600,22.286126273018972,33.55438436780657,False,False
